x,y
2.463098,-9.325958
3.136983,-7.754447
3.773491,-9.334024
1.681054,-11.021778
3.158049,-7.533164
2.851021,-9.659270
3.586200,-11.680103
2.320120,-8.764241
4.098643,-9.860729
3.353436,-9.127465
3.962026,-11.169618
3.640912,-11.771565
-1.141382,-10.410121
1.414821,-8.185767
3.784935,-11.328397
4.059578,-11.003089
2.659170,-9.940635
2.960166,-8.271830
3.746157,-8.974957
3.763458,-8.782047
1.848058,-10.575842
2.083584,-8.750795
2.413363,-5.996154
1.559597,-11.148097
3.941246,-7.367010
3.547075,-8.246059
4.928053,-9.640826
0.654098,-10.297900
4.217880,-11.665303
2.838833,-9.119929
2.315148,-8.414337
3.659706,-6.017672
3.718488,-10.413890
1.945840,-10.747157
4.216946,-10.350034
2.683145,-8.375831
1.703341,-9.940272
0.026607,-11.123503
1.936931,-8.876143
4.578776,-9.527485
3.180582,-9.247831
4.415648,-8.159752
3.199076,-11.016201
4.143614,-8.928214
4.628948,-9.544645
5.718187,-10.038099
5.178127,-9.327106
2.014132,-11.192457
2.561990,-7.364803
4.013098,-8.466459
-0.775273,-8.433339
3.622315,-10.324674
1.847459,-9.503251
5.375850,-11.082436
2.146828,-7.457108
2.119310,-10.046162
2.935200,-11.361719
3.118454,-11.314211
4.116333,-9.495014
6.213683,-9.078524
4.837070,-11.454681
2.605327,-9.015066
5.407117,-12.021159
4.274465,-8.612754
5.088855,-8.431207
2.866643,-10.282259
0.916266,-9.206651
2.500991,-6.469384
1.871999,-9.019197
0.435034,-10.092979
3.180258,-8.263845
4.960688,-9.566007
1.112669,-8.813009
3.564017,-8.762297
1.738104,-7.799708
-4.367570,-4.486048
-2.588304,-4.621877
-4.069640,-2.306592
-4.133859,-5.979732
-4.331463,-3.311632
-4.321345,-4.756719
-2.705816,-6.305073
-7.089268,-5.086651
-4.154811,-6.447801
-3.192784,-4.624434
-5.991902,-4.758458
-4.793571,-7.760323
-3.819988,-5.603607
-5.617338,-4.751367
-3.767274,-6.402091
-3.898885,-4.013188
-5.568414,-4.964450
-4.495280,-2.136770
-7.292868,-4.492859
-4.958781,-5.686082
-1.647030,-5.548645
-1.137998,-6.199007
-3.973646,-6.272056
-5.535446,-5.442061
-4.923271,-5.232048
-7.656955,-2.532084
-4.749909,-2.921427
-6.010082,-5.096982
0.248000,-6.840379
-6.742363,-6.355550
-3.790681,-4.495775
-2.563864,-5.921304
-6.902790,-6.188330
-2.639080,-4.837291
-7.434822,-5.588363
-2.402161,-2.345963
-3.656884,-5.071832
-6.359722,-6.800650
-4.429040,-4.780989
-3.629137,-6.253098
-6.227327,-6.702458
-6.234875,-4.570671
-7.967835,-6.035702
-3.824596,-3.252766
-4.392464,-4.033859
-5.097920,-6.652391
-5.511003,-3.244782
-3.008082,-4.804688
0.495990,-5.584297
-3.568889,-5.074398
-4.832242,-2.061528
-2.239506,-7.635005
-5.099183,-4.893280
-3.324639,-7.558456
-7.882756,-8.395336
-4.606081,-5.690590
-3.981585,-6.690297
-6.335770,-8.570353
-4.005633,-4.980704
-3.009923,-4.349592
-4.785487,-3.511894
-4.703964,-6.527040
-5.280281,-6.413003
-7.748019,-5.301296
-4.124585,-6.079184
-5.570176,-4.978080
-1.924108,-5.478403
-5.260864,-6.422956
-4.604048,-7.432934
-4.687305,-5.444012
-1.732396,-4.120575
-2.948370,-6.605208
-3.494531,-7.244859
-4.031473,-4.907679
-5.649028,-2.536716
5.580485,0.679897
5.558714,2.922872
4.731489,4.232637
5.315223,0.475263
2.991945,4.692926
6.681231,6.388719
7.434177,0.450685
5.883647,0.659554
7.149825,3.914014
3.017671,6.548841
5.695381,0.697266
5.169626,2.437280
4.896368,2.836198
6.789665,1.399060
5.205532,6.255272
3.488984,3.849963
5.032427,2.499436
5.701265,3.679565
3.313773,6.177014
5.916847,3.283329
3.774412,2.357446
6.575836,3.314272
5.418582,3.257305
5.654038,3.360021
5.875205,3.259173
5.973805,4.542566
4.554510,2.244324
3.319244,2.422885
3.252693,4.832684
4.659521,5.889141
8.148419,3.570323
2.407398,2.961809
4.616402,1.301326
4.353684,3.964409
4.040283,2.381351
3.591289,6.214015
4.489955,2.289095
4.170077,4.965505
3.702392,4.256761
5.821252,4.657666
6.828966,2.708267
6.428524,2.344709
4.134614,5.328121
5.962987,3.537136
2.942304,4.376479
3.783865,2.148163
3.757223,3.903731
1.547876,4.075134
4.990289,2.657200
6.284815,4.451150
3.819998,2.528965
5.772151,1.259879
4.230491,2.587420
4.834241,3.850680
4.784606,5.236262
5.071519,3.061501
2.913142,4.616764
5.521644,5.710204
3.608242,3.573617
4.641385,3.402573
4.745010,0.962181
5.966903,4.513799
6.425134,6.908351
4.250973,3.479775
4.744100,6.447268
2.132595,4.262642
2.523177,-0.338366
1.698175,1.461337
6.332962,2.231449
4.388238,1.788721
5.645850,1.881047
6.705903,2.044332
3.582183,3.718101
4.766491,5.671025
4.910035,1.722238
7.003088,-9.120399
8.931155,-7.685534
7.664505,-6.956813
7.050847,-8.465574
8.114732,-5.968951
7.695792,-8.787422
6.274836,-7.232145
6.962123,-7.745696
4.991177,-6.696443
5.845685,-9.427237
9.431463,-10.262929
7.724409,-8.149839
6.345756,-6.246824
10.091759,-11.218650
5.670106,-7.048875
5.889055,-8.844179
8.037919,-7.223448
7.508712,-8.118392
6.678492,-6.322681
7.100621,-7.751624
7.076134,-8.101738
7.591347,-8.504920
6.322920,-7.066604
9.964655,-7.896501
8.942094,-7.004122
9.235570,-7.806188
8.161977,-6.965212
7.946840,-9.722101
7.879364,-11.093846
7.834741,-7.641165
9.697563,-8.034307
9.235801,-8.262030
6.308377,-10.378293
6.388990,-10.310445
8.794153,-8.572645
8.699064,-8.151076
9.409666,-6.670934
6.875584,-8.672697
7.044348,-10.693191
8.856417,-6.478031
7.833949,-9.001012
9.479949,-11.778667
8.109804,-8.046297
6.987306,-6.173862
9.299694,-8.652959
7.713547,-8.843259
7.075411,-10.223523
9.913514,-6.719223
9.040841,-9.902727
10.964859,-5.290975
8.125677,-9.617554
6.543946,-7.633400
6.474070,-8.312540
9.476558,-10.521459
10.852184,-5.911161
5.987963,-10.381685
7.418459,-9.807938
7.448010,-12.133002
7.500538,-5.556939
6.168699,-8.670827
5.609178,-7.303867
7.505613,-5.350124
8.153851,-8.819493
8.669000,-9.020565
5.834629,-7.808302
7.581288,-8.011751
8.406777,-9.026703
8.475956,-5.654678
6.181892,-5.655085
7.479386,-9.411163
11.484422,-8.028691
9.899196,-7.034832
5.322699,-8.079994
7.055612,-10.273912
5.186024,-8.107788
