x,y
2.463098,-9.325958
3.136983,-7.754447
3.773491,-9.334024
1.681054,-11.021778
3.158049,-7.533164
2.851021,-9.659270
3.586200,-11.680103
2.320120,-8.764241
4.098643,-9.860729
3.353436,-9.127465
3.962026,-11.169618
3.640912,-11.771565
-1.141382,-10.410121
1.414821,-8.185767
3.784935,-11.328397
4.059578,-11.003089
2.659170,-9.940635
2.960166,-8.271830
3.746157,-8.974957
3.763458,-8.782047
1.848058,-10.575842
2.083584,-8.750795
2.413363,-5.996154
1.559597,-11.148097
3.941246,-7.367010
3.547075,-8.246059
4.928053,-9.640826
0.654098,-10.297900
4.217880,-11.665303
2.838833,-9.119929
2.315148,-8.414337
3.659706,-6.017672
3.718488,-10.413890
1.945840,-10.747157
4.216946,-10.350034
2.683145,-8.375831
1.703341,-9.940272
0.026607,-11.123503
1.936931,-8.876143
4.578776,-9.527485
3.180582,-9.247831
4.415648,-8.159752
3.199076,-11.016201
4.143614,-8.928214
4.628948,-9.544645
5.718187,-10.038099
5.178127,-9.327106
2.014132,-11.192457
2.561990,-7.364803
4.013098,-8.466459
-0.775273,-8.433339
3.622315,-10.324674
1.847459,-9.503251
5.375850,-11.082436
2.146828,-7.457108
2.119310,-10.046162
2.935200,-11.361719
3.118454,-11.314211
4.116333,-9.495014
6.213683,-9.078524
4.837070,-11.454681
2.605327,-9.015066
5.407117,-12.021159
4.274465,-8.612754
5.088855,-8.431207
2.866643,-10.282259
0.916266,-9.206651
2.500991,-6.469384
1.871999,-9.019197
0.435034,-10.092979
3.180258,-8.263845
4.960688,-9.566007
1.112669,-8.813009
3.564017,-8.762297
1.738104,-7.799708
2.920380,-8.450048
4.699646,-8.585876
3.218310,-6.270592
3.154091,-9.943731
2.956487,-7.275632
2.966605,-8.720718
4.582133,-10.269073
0.198681,-9.050650
3.133138,-10.411800
4.095166,-8.588434
1.296047,-8.722457
2.494379,-11.724323
3.467961,-9.567607
1.670612,-8.715367
3.520676,-10.366091
3.389064,-7.977187
1.719536,-8.928450
2.792670,-6.100769
-0.004918,-8.456859
2.329168,-9.650081
5.640919,-9.512645
6.149952,-10.163007
3.314304,-10.236056
1.752504,-9.406060
2.364679,-9.196048
-0.369006,-6.496083
2.538041,-6.885427
1.277868,-9.060981
7.535949,-10.804379
0.545586,-10.319549
3.497269,-8.459775
4.724086,-9.885303
0.385160,-10.152330
4.648870,-8.801291
-0.146872,-9.552362
4.885788,-6.309963
3.631066,-9.035831
0.928227,-10.764649
2.858910,-8.744988
3.658812,-10.217098
1.060623,-10.666458
1.053074,-8.534671
-0.679886,-9.999702
3.463353,-7.216766
2.895485,-7.997859
2.190030,-10.616391
1.776946,-7.208781
4.279868,-8.768688
7.783939,-9.548297
3.719060,-9.038398
2.455707,-6.025528
5.048443,-11.599004
2.188766,-8.857280
3.963311,-11.522456
-0.594806,-12.359335
2.681869,-9.654590
3.306365,-10.654297
0.952179,-12.534352
3.282317,-8.944704
4.278026,-8.313591
2.502463,-7.475893
2.583986,-10.491039
2.007668,-10.377002
-0.460069,-9.265296
3.163364,-10.043184
1.717774,-8.942079
5.363842,-9.442402
2.027086,-10.386956
2.683901,-11.396933
2.600645,-9.408011
5.555554,-8.084574
4.339580,-10.569208
3.793418,-11.208859
3.256477,-8.871679
1.638922,-6.500715
3.639596,-12.353877
3.617826,-10.110903
2.790600,-8.801138
3.374335,-12.558512
1.051056,-8.340849
4.740342,-6.645056
5.493288,-12.583090
3.942759,-12.374220
5.208937,-9.119761
1.076783,-6.484933
3.754492,-12.336508
3.228738,-10.596495
2.955479,-10.197577
4.848777,-11.634714
3.264644,-6.778502
1.548096,-9.183812
3.091538,-10.534338
3.760376,-9.354209
1.372885,-6.856761
3.975958,-9.750445
1.833524,-10.676329
4.634947,-9.719502
3.477693,-9.776470
3.713150,-9.673754
3.934317,-9.774601
4.032917,-8.491209
2.613621,-10.789451
1.378356,-10.610890
1.311805,-8.201090
2.718633,-7.144633
6.207531,-9.463451
0.466510,-10.071965
2.675513,-11.732448
2.412796,-9.069365
2.099394,-10.652424
1.650401,-6.819759
2.549067,-10.744680
2.229188,-8.068269
1.761504,-8.777014
3.880363,-8.376108
4.888078,-10.325508
4.487635,-10.689065
2.193726,-7.705654
4.022099,-9.496639
1.001415,-8.657295
1.842977,-10.885612
1.816335,-9.130044
-0.393012,-8.958640
3.049400,-10.376574
4.343927,-8.582624
1.879110,-10.504810
3.831263,-11.773895
2.289602,-10.446355
2.893352,-9.183095
2.843718,-7.797513
3.130631,-9.972273
0.972254,-8.417010
3.580756,-7.323571
1.667354,-9.460158
2.700497,-9.631201
2.804121,-12.071594
4.026014,-8.519976
4.484246,-6.125423
2.310085,-9.554000
2.803211,-6.586507
0.191706,-8.771133
0.582289,-13.372141
-0.242713,-11.572438
4.392074,-10.802326
2.447349,-11.245054
3.704962,-11.152727
4.765014,-10.989443
1.641295,-9.315673
2.825603,-7.362750
2.969147,-11.311536
1.948033,-10.358961
3.876099,-8.924095
2.609449,-8.195374
1.995791,-9.704136
3.059677,-7.207513
2.640736,-10.025983
1.219780,-8.470707
1.907068,-8.984257
-0.063879,-7.935004
0.790629,-10.665798
4.376408,-11.501491
2.669353,-9.388401
1.290701,-7.485385
5.036703,-12.457211
0.615051,-8.287437
0.834000,-10.082741
2.982864,-8.462010
2.453657,-9.356954
1.623437,-7.561242
2.045565,-8.990186
2.021079,-9.340300
2.536291,-9.743481
1.267865,-8.305166
4.909600,-9.135063
3.887039,-8.242683
4.180515,-9.044750
3.106922,-8.203774
2.891784,-10.960662
2.824309,-12.332408
2.779686,-8.879726
4.642507,-9.272869
4.180746,-9.500591
1.253321,-11.616854
1.333934,-11.549006
3.739098,-9.811207
3.644008,-9.389638
4.354610,-7.909496
1.820529,-9.911259
1.989293,-11.931753
3.801362,-7.716593
2.778893,-10.239573
4.424894,-13.017228
3.054749,-9.284859
1.932250,-7.412423
4.244639,-9.891521
2.658492,-10.081821
2.020356,-11.462085
4.858459,-7.957785
3.985785,-11.141289
5.909804,-6.529537
3.070622,-10.856116
1.488891,-8.871962
1.419015,-9.551101
4.421503,-11.760021
5.797129,-7.149722
0.932907,-11.620247
2.363403,-11.046500
2.392955,-13.371564
2.445483,-6.795500
1.113644,-9.909388
0.554122,-8.542429
2.450557,-6.588685
3.098795,-10.058055
3.613945,-10.259127
0.779574,-9.046863
2.526233,-9.250312
3.351722,-10.265264
3.420901,-6.893240
1.126837,-6.893647
2.424331,-10.649725
6.429367,-9.267252
4.844140,-8.273394
0.267644,-9.318555
2.000556,-11.512474
0.130969,-9.346350
3.673915,-8.913783
2.329793,-10.697560
1.308244,-10.332526
1.238953,-9.804697
2.754205,-10.843767
2.440461,-10.640265
2.781827,-8.739153
3.055724,-8.791559
0.310514,-10.067830
3.203645,-8.538041
0.391531,-9.261018
4.598167,-9.767701
2.646399,-8.824100
3.159213,-8.487829
2.897157,-9.271041
1.614869,-9.755442
4.668219,-9.806040
2.535690,-10.237040
3.969315,-10.781804
4.154289,-10.905245
1.201864,-9.190876
2.983805,-9.053449
4.382342,-10.118529
3.453026,-10.864511
4.677290,-8.551097
3.593314,-9.217967
1.610137,-9.990842
3.541205,-9.528561
2.974153,-11.539514
3.060177,-10.537676
1.163531,-9.731813
0.003780,-8.451930
4.066555,-9.579939
1.297863,-10.917838
2.561851,-13.135385
3.059251,-8.503137
2.320694,-10.241388
3.061487,-8.973819
4.429764,-9.472190
1.753899,-10.191682
3.061455,-7.165484
2.308126,-11.078575
1.483376,-12.644287
3.283227,-11.541771
0.938272,-12.463807
1.111553,-8.647163
0.821505,-12.124248
3.055931,-10.011542
3.436821,-8.388945
2.775788,-11.446426
2.602836,-8.749396
1.914053,-11.655977
4.442454,-10.122656
2.174691,-9.475842
4.334245,-9.104355
2.288697,-8.476585
6.009073,-7.418106
3.797843,-11.183206
8.416624,-11.297771
2.230832,-10.549619
5.228874,-8.869425
0.647849,-9.098404
3.608894,-9.977509
0.958251,-10.587335
2.133262,-9.465688
2.008671,-8.396954
1.363615,-12.096865
1.679446,-7.476449
1.928802,-5.988572
3.525762,-11.246424
1.537107,-9.134726
1.022070,-5.937917
1.302200,-8.478370
4.978731,-9.663586
1.294744,-9.909384
3.331861,-8.186157
2.873611,-11.600119
2.852022,-10.509822
-0.486318,-10.546125
0.639860,-8.619503
5.704783,-6.711654
1.928723,-10.200876
3.821709,-7.907856
2.160428,-9.713739
6.098930,-9.660962
2.060554,-9.319914
3.658090,-11.032248
2.415932,-11.249326
2.371141,-6.684398
3.901119,-9.638600
1.388868,-9.966897
4.364636,-10.342315
4.964167,-11.560239
2.353467,-6.885638
-0.223222,-7.717165
0.011470,-9.634905
2.529734,-8.263345
-1.943279,-12.376500
1.939512,-9.444442
1.448711,-9.831085
1.009276,-10.101694
1.518387,-9.133753
3.660666,-7.350390
1.803908,-9.976773
2.860154,-9.942164
2.710550,-11.843053
3.346168,-10.872572
1.353094,-11.881974
4.530038,-9.710699
4.512774,-9.091332
0.233495,-11.125330
3.925434,-10.648309
1.153020,-9.768854
2.523085,-11.017586
2.299318,-10.217524
-1.096448,-8.745790
1.571474,-7.543126
1.063350,-11.869182
4.569972,-11.877368
1.834275,-8.603780
2.294067,-11.982993
3.070589,-9.791269
4.714319,-8.616813
7.342107,-11.968626
2.756024,-11.099767
4.520662,-8.267028
3.919593,-10.665783
1.670809,-12.544305
5.352786,-8.737456
2.397246,-8.099512
3.914909,-8.036889
0.353230,-10.570539
3.081699,-8.966653
4.224388,-11.012738
2.979350,-6.191754
3.826419,-8.193941
2.759755,-8.348344
5.494521,-9.339822
4.624504,-10.812494
3.673684,-8.143460
1.660531,-7.852599
1.775666,-10.707644
2.786747,-6.601800
3.252265,-8.096108
1.690839,-9.383539
1.023701,-10.356444
4.041997,-9.557381
4.965480,-9.803410
2.491632,-7.584763
1.815611,-11.779432
4.740451,-8.878503
-0.459256,-9.432991
2.182855,-6.882525
1.695049,-10.370937
1.422935,-11.080869
1.737792,-11.653672
1.241740,-11.909663
0.542618,-11.839297
2.006798,-10.525318
0.948830,-8.782379
2.716422,-10.147749
2.092576,-7.110466
3.148257,-8.786717
-1.090524,-10.480387
-0.467974,-10.139091
3.348501,-10.511232
3.566449,-11.033910
3.652241,-11.830199
2.396004,-8.870074
3.592417,-9.690680
5.698107,-10.121415
2.112042,-13.639046
5.441937,-10.053282
1.024513,-7.518428
4.641795,-9.337296
0.636154,-8.871321
1.856448,-11.255943
4.353595,-12.698673
3.639281,-8.810752
5.865052,-9.012024
-0.299111,-10.753966
2.885536,-8.966439
4.259760,-12.439299
2.293611,-8.044993
5.104491,-6.708249
2.203207,-7.853377
5.356104,-7.702681
3.874064,-8.258090
1.603710,-11.670660
4.262808,-10.020385
2.746336,-10.367865
2.199176,-9.150661
1.255747,-9.397035
3.157618,-9.615818
1.673091,-8.319855
5.597491,-10.401649
4.640230,-8.165889
-1.191342,-10.641576
1.834776,-8.327128
3.071268,-8.788188
-3.544995,-6.884160
-5.619239,-7.370119
-4.754820,-5.714440
-4.242606,-6.626747
-3.139627,-4.160119
-2.179635,-4.468823
-4.221147,-4.527149
-3.584786,-6.513508
-2.565336,-2.958008
-1.533984,-5.482947
-4.013008,-4.911247
-4.503232,-4.606852
-4.681183,-5.826460
-1.860940,-5.288712
-4.398898,-4.212756
-4.273914,-5.098352
-4.594760,-7.366410
-4.545871,-7.241112
-4.184187,-7.307943
-3.124350,-4.411933
-4.078771,-5.685986
-3.874962,-8.483283
-6.144643,-5.758885
-3.981524,-5.654879
-6.006329,-5.335616
-5.179964,-7.138681
-4.005161,-5.850753
-2.704689,-4.537487
-3.397407,-5.053285
-5.767181,-6.939226
-6.706151,-1.217266
-6.118581,-5.850533
-5.039997,-5.957432
-5.375489,-8.338303
-5.996704,-7.621790
-4.689583,-6.562084
-5.530184,-5.211966
-5.373591,-4.137644
-5.078683,-5.198050
-6.487359,-4.550476
-5.107189,-4.922648
-4.004406,-5.795950
-4.173255,-6.113730
-2.480249,-4.134352
-3.775672,-7.305996
-6.148372,-6.531578
-4.866917,-4.863762
-5.844220,-3.770174
-4.494021,-8.554958
-5.212389,-9.413563
-5.627007,-6.359477
-5.415029,-6.023666
-5.090566,-6.426387
-2.245668,-3.713432
-6.212175,-3.654935
-6.931465,-6.757703
-2.211625,-8.895115
-3.637235,-7.416026
-4.715414,-5.806090
-1.953607,-6.751690
-4.602936,-4.595256
-4.877080,-6.768886
-4.588213,-5.395518
-3.173330,-6.950364
-5.173109,-5.051371
-4.750165,-5.813706
-4.524918,-6.579544
-5.698949,-4.874690
-6.142064,-3.787709
-4.173456,-7.450597
-4.074873,-5.284867
-3.356172,-3.797511
-5.049042,-6.597429
-5.408386,-7.007418
-5.619076,-5.109032
-4.476515,-6.272821
-5.606797,-5.013956
-5.251812,-7.096020
-4.726926,-5.932526
-6.104476,-4.295021
-3.230395,-5.474445
-4.302853,-4.744823
-4.545797,-4.198847
-2.015401,-5.415046
-3.839033,-4.225608
-5.006478,-7.228242
-3.140412,-7.888932
-1.816159,-4.230135
-4.217877,-5.459141
-1.872377,-6.955124
-6.239704,-6.432989
-4.892110,-7.045489
-4.268622,-5.331868
-5.720199,-3.131206
-6.587525,-7.450870
-3.935234,-5.847010
-3.872823,-6.464241
-6.049423,-6.504100
-5.524807,-4.748291
-5.219351,-4.393640
-3.617301,-3.974891
-3.148335,-4.359256
-3.344634,-6.310824
-4.892240,-8.280976
-4.061788,-6.546434
-3.897095,-4.744559
-6.527554,-7.056544
-5.023433,-6.312186
-4.248883,-7.268921
-4.428646,-8.068514
-7.732079,-4.460790
-6.457384,-6.375662
-6.625458,-7.649091
-5.097698,-6.150978
-3.025533,-4.861517
-4.891091,-4.399260
-2.824582,-4.918838
-5.108888,-4.007880
-1.846631,-4.544984
-1.843399,-4.145887
-3.226126,-7.171065
-6.169738,-5.610010
-7.003600,-6.425216
-3.198408,-6.533518
-3.699627,-7.562662
-5.239875,-4.000625
-4.186645,-5.100361
-1.942328,-3.590580
-5.814699,-3.558937
-5.422280,-5.562170
-4.476594,-3.926225
-6.193314,-4.857994
-3.713391,-4.318515
-4.814992,-4.030667
-5.566730,-3.815197
-3.971053,-7.635910
-3.887533,-5.266828
-5.032898,-6.640166
-4.859703,-7.699021
-1.963334,-7.228203
-5.491338,-3.818437
-3.621867,-4.455417
-2.224351,-6.003999
-6.069156,-4.269383
-3.304996,-6.026119
-6.397784,-3.677059
-3.635643,-7.595996
-3.329483,-7.697251
-5.223359,-7.220749
-5.456159,-6.785752
-5.419380,-4.449389
-4.057527,-4.592688
-2.860900,-6.094839
-4.379572,-4.728556
-1.939306,-4.187168
-2.427087,-4.007338
-2.913516,-8.212790
-3.178125,-5.216398
-4.418092,-6.326668
-5.137325,-4.911514
-3.239450,-7.782464
-4.172258,-6.376815
-5.925618,-4.946852
-4.992490,-6.524340
-5.653161,-5.113837
-4.514471,-7.173246
-5.760910,-5.809545
-3.891692,-7.110357
-3.767254,-6.771789
-0.407797,-6.947290
-5.684602,-5.244780
-5.852985,-4.294338
-1.797289,-6.117215
-4.240257,-6.312425
-4.499457,-3.388184
-3.158044,-6.892123
-2.180557,-3.792693
-3.769861,-6.524611
-4.400852,-6.728984
-3.798005,-6.010492
-7.851857,-4.146481
-4.212234,-3.918061
-4.703683,-5.253085
-2.826424,-4.954090
-4.067411,-0.714199
-4.752914,-5.282007
-1.898371,-6.743297
-6.060910,-7.683884
-3.698920,-4.597339
-3.387182,-7.566125
-2.990625,-3.739886
-4.645381,-5.486936
-3.486020,-4.985070
-3.536459,-7.164914
-4.761347,-7.354495
-3.552498,-4.740461
-4.647636,-5.090586
-6.834188,-4.248897
-5.200320,-5.342209
-2.826359,-6.670536
-2.703563,-5.349672
-4.457128,-4.701717
-6.369952,-4.644626
-4.407149,-3.981370
-4.824624,-6.080761
-3.944956,-5.624837
-6.260367,-5.826722
-2.597969,-5.675441
-5.805104,-4.461880
-7.279579,-8.716186
-4.505639,-5.264397
-4.168815,-6.874960
-4.725163,-7.633885
-4.170070,-7.958764
-4.723278,-5.143416
-7.134352,-6.319540
-3.317194,-3.212333
-6.755354,-5.025908
-6.353338,-7.553672
-2.105303,-4.533512
-5.705705,-5.207244
-3.536494,-5.263846
-1.128496,-4.627117
-8.988886,-5.971085
-5.604278,-5.842005
-4.479215,-6.512500
-6.126790,-3.490677
-3.603401,-6.541894
-3.479939,-4.523014
-2.598452,-7.118755
-3.329591,-6.447468
-2.766847,-5.824459
-7.907082,-5.482754
-7.175657,-5.861509
-4.586701,-6.137743
-6.729793,-7.209379
-5.766300,-5.907948
-2.566664,-4.472157
-5.207706,-3.624969
-6.551507,-4.508253
-4.762266,-5.181298
-3.541720,-6.555148
-3.297676,-5.549750
-0.881715,-5.992177
-2.595651,-4.565150
-6.260603,-3.494852
-6.090030,-8.883778
-3.219440,-3.932355
-4.421375,-5.927314
-2.123891,-4.467983
-5.483213,-4.438486
-6.364351,-6.374237
-6.076109,-8.835811
-6.265352,-3.702293
-6.146146,-6.360833
-6.240874,-4.237374
-4.497617,-4.799667
-4.657944,-7.292326
-5.960328,-4.279886
-4.585524,-4.374183
-9.243307,-3.870622
-5.240364,-2.276499
-5.265546,-5.493382
-3.508847,-6.849478
-3.190307,-6.503609
-2.565759,-4.345976
-3.755959,-6.622077
-4.815270,-5.085918
-7.549428,-6.363409
-3.092303,-7.438056
-2.580946,-6.478258
-4.014528,-7.257281
-3.772846,-4.841693
-2.794853,-3.504680
-2.619128,-5.222407
-6.338660,-3.550138
-6.455616,-6.193850
-3.393751,-4.870449
-2.109816,-5.541865
-7.034517,-5.948673
-4.238323,-6.061699
-2.380733,-5.907204
-6.653185,-4.835601
-6.220941,-2.985947
-4.094272,-7.640712
-2.880326,-1.981915
-7.505498,-4.181175
-3.773372,-5.272265
-3.984421,-4.797957
-5.538921,-3.419300
-6.523700,-2.597940
-2.207883,-7.314988
-4.507514,-3.405997
-5.235905,-5.779398
-5.102980,-3.784576
-5.410938,-5.550524
-3.689091,-5.847188
-5.799061,-7.548108
-6.776798,-7.305492
-7.080238,-6.626100
-4.049091,-5.454642
-5.739363,-7.062814
-5.989496,-7.617632
-6.353230,-4.464243
-6.606331,-5.509811
-5.426494,-1.893869
-7.194806,-5.245834
-5.000040,-6.692481
-4.026594,-5.302408
-6.102771,-4.896369
-3.915661,-3.571581
-5.414370,-3.330119
-4.794640,-8.499804
